Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","F2542","Sugar (Raw Equivalent)","2015","2015","kg","14.92","E","Estimated value"
"FBS","Food Balances (2010-)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","F2605","Vegetables, other","2015","2015","kg","36.85","E","Estimated value"
"FBS","Food Balances (2010-)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","F2625","Fruits, other","2015","2015","kg","7.22","E","Estimated value"
"FBS","Food Balances (2010-)","004","Afghanistan","645","Food supply quantity (kg/capita/yr)","F2735","Meat, Other","2015","2015","kg","0.35","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","645","Food supply quantity (kg/capita/yr)","F2542","Sugar (Raw Equivalent)","2015","2015","kg","16.29","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","645","Food supply quantity (kg/capita/yr)","F2605","Vegetables, other","2015","2015","kg","167.9","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","645","Food supply quantity (kg/capita/yr)","F2625","Fruits, other","2015","2015","kg","48.58","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","645","Food supply quantity (kg/capita/yr)","F2735","Meat, Other","2015","2015","kg","0","E","Estimated value"
"FBS","Food Balances (2010-)","008","Albania","645","Food supply quantity (kg/capita/yr)","F2764","Marine Fish, Other","2015","2015","kg","0.38","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","F2542","Sugar (Raw Equivalent)","2015","2015","kg","27.61","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","F2605","Vegetables, other","2015","2015","kg","116.19","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","F2625","Fruits, other","2015","2015","kg","23.6","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","F2735","Meat, Other","2015","2015","kg","0.38","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","645","Food supply quantity (kg/capita/yr)","F2764","Marine Fish, Other","2015","2015","kg","0.33","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","F2542","Sugar (Raw Equivalent)","2015","2015","kg","11.06","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","F2605","Vegetables, other","2015","2015","kg","24.37","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","F2625","Fruits, other","2015","2015","kg","2.07","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","645","Food supply quantity (kg/capita/yr)","F2735","Meat, Other","2015","2015","kg","0.34","E","Estimated value"
